utterance_id	speaker_id	target_id	utterance_text
1	P00001	P00002	Sr. e Srs. Deputados, Sr. e Srs. Funcionários, Sr. e Srs. Jornalistas, está aberta a sessão. Eram 15 horas e 5 minutos. Peço aos Srs. Agentes da autoridade para abrirem as galerias. Antes de iniciarmos a ordem do dia, vou dar a palavra ao Sr. Secretário para dar conta do expediente.
2	P00231	P00002	Sr. Presidente, Sr. e Srs. Deputados, deram entrada na Mesa, e foram admitidas, as seguintes iniciativas: propostas de lei n. 11/XIII (1.ª) — Aprova as Grandes Opções do Plano para 2016, que baixa à 5.ª Comissão, 12/XIII (1.ª) — Aprova o Orçamento do Estado para 2016, que baixa à 5.ª Comissão e a todas as outras em complementaridade, e 13/XIII (1.ª) — Aprova o Quadro Plurianual de Programação Orçamental para os anos de 2016-2019, que baixa à 5.ª Comissão; projetos de lei n. 125/XIII (1.ª) — Extingue o Arsenal do Alfeite, SA, e determina a reintegração do Arsenal do Alfeite na orgânica da Marinha (PCP), que baixa à 3.ª Comissão, 126/XIII (1.ª) — Estabelece um regime transitório de isenção de propinas no ensino superior público (PCP), que baixa à 8.ª Comissão, 127/XIII (1.ª) — Congelamento do valor da propina do ensino superior público (PCP), que baixa à 8.ª Comissão, 128/XIII (1.ª) — Determina como única consequência pelo incumprimento do pagamento da propina o não reconhecimento do ato académico (PCP), que baixa à 8.ª Comissão, e 129/XIII (1.ª) — Primeira alteração à Lei n.º 5/2011, de 2 de março, que aprova a Lei das Ordens Honoríficas Portuguesas, integrando a Ordem de Camões no âmbito das Ordens Nacionais (PS); e projetos de resolução n. 142/XIII (1.ª) — Recomenda ao Governo a construção da escola secundária do Perú, na freguesia da Quinta do Conde, Sesimbra (PSD), 144/XIII (1.ª) — Recomenda a conclusão da remoção e o tratamento dos resíduos perigosos ainda existentes nas escombreiras das antigas minas de São Pedro da Cova (BE), 145/XIII (1.ª) — Recomenda ao Governo que dispense do pagamento de contribuições para a segurança social, relativamente aos produtores de leite de vaca cru e aos produtores de carne de suíno (PSD), que baixa à 7.ª Comissão, 146/XIII (1.ª) — Propõe a criação de um novo regime transitório para a conclusão da obtenção do grau de doutor e contratação efetiva com vínculo público dos docentes do ensino superior público (PCP), 147/XIII (1.ª) — Necessidade de construção urgente de uma escola secundária na Quinta do Conde, concelho de Sesimbra (Os Verdes), 148/XIII (1.ª) — Recomenda ao Governo o aprofundamento da cooperação institucional e operacional entre o Camões — Instituto da Cooperação e da Língua e as entidades responsáveis pela implantação e manutenção do Museu da Língua Portuguesa, com vista à recuperação do Museu e da restituição do acervo tecnológico (CDS-PP), 149/XIII (1.ª) — Recomenda ao Governo priorizar a construção da escola da Quinta do Perú, no concelho de Sesimbra (PS), 150/XIII (1.ª) — Recomenda ao Governo a adoção de medidas que assegurem a equidade na aplicação dos regimes transitórios dos estatutos das carreiras docentes do ensino superior público (PS), 151/XIII (1.ª) — Resolução definitiva do problema ambiental resultante da deposição de resíduos perigosos em São Pedro da Cova, Gondomar (Os Verdes) e 152/XIII (1.ª) — Recomenda ao Governo um conjunto de ações em torno da requalificação e valorização da Ria Formosa (PS). É tudo, Sr. Presidente.
3	P00001	P00002	Srs. Deputados, vamos, então, entrar na ordem do dia, cujo primeiro ponto consiste na reapreciação dos Decretos da Assembleia da República n. 6/XIII — Revogação das Leis n.º 134/2015, de 7 de setembro, relativa ao pagamento de taxas moderadoras na interrupção voluntária da gravidez, e 136/2015, de 7 de setembro (Primeira alteração à Lei n.º 16/2007, de 17 de abril, sobre a exclusão da ilicitude nos casos de interrupção voluntária da gravidez), e 7/XIII — Elimina as discriminações no acesso à adoção, apadrinhamento civil e demais relações jurídicas familiares, procedendo à segunda alteração à Lei n.º 7/2001, de 11 de maio, à primeira alteração à Lei n.º 9/2010, de 31 de maio, à vigésima terceira alteração ao Código do Registo Civil, aprovado pelo Decreto-Lei n.º 131/95, de 6 de junho, e à primeira alteração ao Decreto-Lei n.º 121/2010, de 27 de outubro. Foi acordado na Conferência de Líderes desta manhã que, para este primeiro ponto, cada grupo parlamentar disporia de 5 minutos, à exceção do Deputado do PAN, que disporá de apenas 2 minutos.
4	P00593	P00002	Sr. Presidente, Sr. Deputadas, Srs. Deputados: Debatemos os vetos do Presidente da República. São vetos políticos, bem o sabemos, mas são, acima de tudo, palavras carregadas de preconceito e conservadorismo.
5	P00330	P00593	Muito bem!
6	P00593	P00002	Palavras amargas que pretendem tão-só fazer vergar os direitos de homens, mulheres e crianças a uma visão ideológica do passado. O veto do Presidente da República às propostas de lei de alteração das normas da interrupção voluntária da gravidez (IVG) e da possibilidade de adoção por parte de casais do mesmo sexo não é mais do que um ato mesquinho de um revanchismo inaceitável.
7	P00317	P00593	Muito bem!
8	P00593	P00002	Os fundamentos para os vetos são injustificados e não conseguem esconder a motivação e o entendimento pessoal que o Presidente da República tem sobre estas matérias. O Sr. Presidente da República defende que o Decreto da Assembleia da República, em relação à IVG, diminui os direitos de informação da mulher, que foi realizado sem o devido debate público, que elimina a obrigatoriedade de acompanhamento da mulher e ainda que proíbe os profissionais objetores de consciência de participarem nas consultas de aconselhamento. Ora, os direitos da mulher grávida à informação estão já contemplados no artigo 142.º do Código Penal, assim como no artigo 2.º da Lei n.º 16/2007, que regula a IVG em Portugal. A auscultação de entidades diversas com relevância neste domínio tem sido feita nas instâncias competentes há décadas, assim como o debate amplo e aprofundado tem acontecido não apenas aqui, como na sociedade civil. Quem finge andar distraído é o Presidente. O acompanhamento da mulher que recorra à IVG deve estar disponível, sim, senhor, e é obrigação do Estado promovê-lo e proporcioná-lo, mas nunca pode ter carácter obrigatório. Repito: nunca pode ter carácter obrigatório,…
9	P00317	P00593	Muito bem!
10	P00593	P00002	… porque obrigar alguém a um ato médico que não quer é uma violação grosseira do seu direito à autodeterminação.
