utterance_id	speaker_id	target_id	reply_to_id	utterance
1	P00001	P00002		Srs. Deputados, temos quórum, pelo que declaro aberta a sessão. Eram 15 horas e 35 minutos. Estavam presentes os seguintes Srs. Deputados: Partido Socialista (PS): Abílio Aleixo Curto. Acácio Manuel de Frias Barreiros. Agostinho de Jesus Domingues. Américo Albino da Silva Salteiro. António Cândido Miranda Macedo. António da Costa. António Domingues Azevedo. António Frederico Vieira de Moura. António José Santos Meira. António Manuel Azevedo Gomes. Avelino Feleciano Martins Rodrigues. Beatriz Almeida Cal Brandão. Bento Gonçalves da Cruz. Carlos Augusto Coelho Pires. Carlos Cardoso Lage. Carlos Justino Luís Cordeiro. Dinis Manuel Pedro Alves. Edmundo Pedro. Fernando Fradinho Lopes. Francisco Augusto Sá Morais Rodrigues. Francisco Igrejas Caeiro. Francisco Lima Monteiro. Francisco Manuel Marcelo Curto. Frederico Augusto Handel de Oliveira. Gaspar Miranda Teixeira. Gil da Conceição Palmeiro Romão. Henrique Aureliano Vieira Gomes. Hermínio Martins de Oliveira. João de Almeida Eliseu. João Eduardo Coelho Ferraz de Abreu. João Joaquim Gomes.
2	P00001	P00002		Srs. Deputados, a primeira parte da ordem do dia de hoje diz respeito à apreciação do processo de urgência solicitado pela Assembleia Regional da Madeira para a discussão da proposta de lei n.º 92/III, que diz respeito à assistência ao Governo Regional da Madeira na defesa das ilhas Selvagens como reserva natural. Para uma intervenção, tem a palavra a Sr.ª Deputada Cecília Catarino.
3	P00144	P00002		Sr. Presidente, Srs. Deputados: Umas necessariamente curtas palavras sobre o pedido de processo de urgência solicitado pela Assembleia Regional da Madeira sobre a proposta de lei n.º 92/III. Impõe-se, antes de mais, um brevíssimo historial sobre a, chamemos-lhe assim, «evolução» que ao longo destes últimos anos tem sofrido um diploma que, pela terceira vez e estou em crer que última, nos surge emanado do órgão legislativo próprio da Região Autónoma da Madeira. Em 1977 deu entrada na Assembleia da República, emanada da Assembleia Regional da Madeira, uma proposta de lei, à qual foi dado o n.º 146/I subordinada à epígrafe: «Assistência ao Governo Regional da Madeira na defesa das ilhas Selvagens como reserva natural». Baixou à comissão especializada (10.º), mas não foi aí discutida nem votada, nem por conseguinte chegou a subir a Plenário. Dá-se, entretanto, a dissolução da Assembleia da República em 1979. Após as eleições intercalares, nos termos constitucionais e regimentais havia que, caso o interesse no referido diploma se mantivesse, renovar a proposta. A Assembleia Regional aprovou e voltou a enviar a esta Câmara a mesma proposta de lei que recebeu desta feita o n.º 280/I. É a mesma discutida em Plenário na sessão de 4 de Junho de 1980 e aprovada na generalidade por unanimidade dos partidos representados nesta Câmara. Mas, nos termos regimentais, baixou à 9.ª Comissão para discussão na especialidade e introdução de eventuais alterações ou aditamentos que fossem considerados úteis. E aqui o diploma fica, digamos, à espera de «oportunidade», não obstante os esforços feitos pelos deputados eleitos pela Madeira para que a sua discussão se fizesse rapidamente e pudesse subir a Plenário para aprovação final global na especialidade. Da morosidade dos trabalhos parlamentares não são os deputados do PSD da Madeira responsáveis, nem podem por si só (somos apenas 4) - antes pudessem e muito diferentemente as coisas se passariam - conseguir que os diplomas emanados da Assembleia Regional da Madeira sejam discutidos e votados nesta Câmara com a celeridade que seria desejada. Só o esforço conjunto de todos nós permitirá que a vida parlamentar portuguesa seja diferente e se produza trabalho profícuo em tempo oportuno. Mas voltemos à referida «evolução» do diploma. Em 1983 temos novamente a dissolução da Assembleia da República. Da legislatura anterior fica, no entanto, consagrada na Constituição da República, então revista, o mecanismo do artigo 173.º, n.º 2, que permite à Assembleia Regional da Madeira, ela própria, solicit a esta Câmara «processo de urgência» para os diplomas daquela emanados. É este dispositivo constitucional que irá, pois, permitir à Região Autónoma da Madeira que situações como as que se passaram anteriormente não voltem a acontecer. É por força, pois, do n.º 2 do artigo 173.º da Constituição da República que hoje nos encontramos a discutir a urgência do processo da proposta de lei n.º 92/III. Indo ao fundo da questão, trata-se de saber se sim ou não é urgente discutir e fazer aprovar um diploma como este.
4	P00001	P00008		Para formular pedidos de esclarecimento, tem a palavra o Sr. Deputado Jorge Lemos.
5	P00008	P00144	3	Sr.ª Deputada Cecília Catarino, ouvi com todo o interesse e atenção a intervenção que V. Ex.ª produziu. Verifiquei que teve o cuidado de fazer um historial da passagem pela Assembleia da República das sucessivas versões desta proposta de lei da Assembleia Regional da Madeira e de referir que esta é a terceira vez que ela é apresentada. Entretanto, também esclareceu que os deputados do PSD eleitos pelo círculo eleitoral da Madeira tinham feito esforços no sentido de que esta proposta tivesse sido agendada. Ora, todas estas considerações que a Sr.ª Deputada fez levam-me a colocar algumas questões: Em primeiro lugar, gostaria de saber se é ou não verdade que desde 1980 a maioria parlamentar que tem apoiado os sucessivos governos tem contado com a participação do PSD. Dado que não nos recordamos muito bem, também gostaria que a Sr.ª Deputada dissesse se se lembra de alguma iniciativa por parte do Grupo Parlamentar do PSD no sentido do agendamento em Plenário da referida proposta de lei. A segunda ordem de questões tem a ver com o facto de V. Ex.ª ter referido os deputados do PSD eleitos pelo círculo eleitoral da Madeira como uma entidade autónoma. Assim, gostaria que me dissesse se os deputados do PSD eleitos pela Madeira se integram ou não no Grupo Parlamentar do PSD e se esses próprios deputados da Madeira alguma vez trouxeram à Assembleia da República - designadamente em intervenção produzida no período de antes da ordem do dia, uma vez que se poderia dizer que os líderes da bancada não colocavam a questão - a necessidade do agendamento desta e de outras propostas que a Região Autónoma da Madeira tem enviado para a Assembleia da República e que, sucessivamente, têm visto a recusa de agendamento. Sr.ª Deputada, será extremamente fácil assumir um papel cândido no sentido de que não tem nenhuma responsabilidade, quando o grupo parlamentar de que faz parte está integrado na maioria da Assembleia da República e V. Ex.ª e os deputados da Madeira ainda não desenvolveram qualquer esforço, desde a primeira vez em que esta proposta de lei deu entrada na Assembleia da República, para que ela fosse agendada. Uma outra questão que queria colocar tem a ver com o facto de estarmos apenas a discutir a urgência do diploma e não a substância. De qualquer modo, gostaria de perguntar se os Srs. Deputados vão propor algum regime especial para o processo de urgência ou se defendem que seja aplicado o regime normal que consta do Regime. Seria bom que esta questão ficasse clara, para não estarmos aqui a gastar tempo ao Plenário discutindo um processo de urgência para depois voltar a meter na gaveta uma iniciativa que, pela nossa parte, é considerada como positiva vinda da Região Autónoma da Madeira.
6	P00123	P00001	4	Sr. Presidente, peço a palavra.
7	P00001	P00123	6	Para que efeito, Sr. Deputado?
8	P00123	P00001	7	Sr. Presidente, gostaria de anunciar que vamos entregar na Mesa um requerimento pedindo a baixa à comissão deste pedido de urgência na base de que a Assembleia Regional da Madeira não esclarece cabalmente se opta pelo Regimento supletivo ou por alguns dos pontos previstos no artigo 245.º do Regimento.
9	P00001	P00002		Com certeza, Sr. Deputado. Para responder ao pedido de esclarecimento que lhe foi formulado, tem a palavra a Sr.ª Deputada Cecília Catarino.
10	P00144	P00008	5	Sr. Deputado Jorge Lemos, em primeiro lugar, quero dizer que os deputados do PSD eleitos pelo círculo eleitoral da Madeira são deputados que se integram dentro do Grupo Parlamentar do PSD. Não têm nenhum estatuto autónomo, mas, tal como os deputados de determinadas regiões deste país, procuram, nas suas intervenções, chamar a atenção para problemas que preferencialmente dizem respeito ao círculo pelo qual foram eleitos, embora se possam ocupar de outros assuntos, como é óbvio. No caso concreto da protecção e conservação da reserva natural das ilhas Selvagens, devo dizer que em 1980 o PSD tentou, por todos os meios possíveis, fazer agendar a discussão em Plenário desta proposta de lei. Porém, tanto quanto fui informada - e isto porque não faço parte das reuniões dos líderes dos grupos e agrupamentos parlamentares - havia sempre questões muito mais urgentes para serem tratadas e, por
11	P00008	P00001	9	Sr. Presidente, peço a palavra para fazer uma interpelação à Mesa.
12	P00001	P00008	11	Faça favor, Sr. Deputado.
13	P00008	P00001	12	Sr. Presidente, na interpelação à Mesa que há pouco o Sr. Deputado José Luís Nunes formulou, referiu que o PS iria entregar um requerimento para que o processo de urgência baixasse de novo à Comissão, dado que a Assembleia Regional da Madeira não tinha proposto o método quanto à sua discussão. Ora, creio que por parte do Sr. Deputado José Luís Nunes há um manifesto lapso, porquanto a Assembleia Regional da Madeira não tem que propor qualquer tipo de tramitação para o processo de urgência. A Assembleia Regional usou - e bem - do seu direito de requerer urgência para a apreciação de uma sua iniciativa. Portanto, é a Assembleia da República que, quando decidir da concessão da urgência - e é disso que agora estamos a tratar -, mas só após a concessão da urgência, se for caso disso - e se o PS tem objecções em conceder a urgência terá todas as possibilidades de argumentar para que tal não seja concedida -, poderá deliberar, nos termos do artigo 245.º, em que condições se deve efectuar o debate da proposta de lei: se se aplica a regra supletiva, ou seja, as regras constantes do artigo 246.º do Regimento, ou se se aplica alguma das disposições constantes do artigo 245.º do Regimento. Nesse sentido, pensamos que o requerimento anunciado pela bancada do PS não tem qualquer razão de ser e, por isso mesmo, não deve ser admitido pela Mesa.
14	P00123	P00001	12	Sr. Presidente, peço a palavra.
15	P00001	P00123	14	Faça favor, Sr. Deputado.
16	P00123	P00001	15	Sr. Presidente, V. Ex.ª irá admitir ou rejeitar o requerimento que deu entrada na Mesa: se o admitir ele será imediatamente votado, e não tenho de fazer mais considerações, mas se o rejeitar já será diferente. Portanto, gostaria de ser informado sobre essa matéria.
17	P00144	P00001	15	Sr. Presidente, peço a palavra.
18	P00001	P00144	17	Para que efeito, Sr.ª Deputada?
19	P00144	P00001	18	Sr. Presidente, gostaria de deixar registada a. minha profunda surpresa pela posição que neste momento o Partido Socialista está a adoptar. A minha surpresa é tanto maior porquanto em 1980 o PS, que era oposição, votou por unanimidade a aprovação, na generalidade, deste diploma. Este intermezzo de pretender a baixa à Comissão através de um requerimento baseado numa não especificação do processo a seguir na discussão do diploma em causa é algo que não compreendemos muito bem, pois não sabemos qual é o verdadeiro alcance do requerimento apresentado pelo PS, tanto mais que na Assembleia Regional da Madeira este diploma foi aprovado por unanimidade e foi objecto de uma intervenção especial feita pelo Sr. Deputado Duarte Caldeira, do PS, onde referia a urgente necessidade de este diploma ser aprovado.
20	P00138	P00001	18	Sr. Presidente, peço a palavra.
21	P00001	P00138	20	Faça favor, Sr. Deputado.
22	P00138	P00002		Srs. Deputados do PS, gostaria de apelar à vossa bancada no sentido de retirarem o documento que entregaram na Mesa, porque ele é verdadeiramente insólito e porque, se lhe quisessem dar o carattere de um requerimento com a força de obstrução ao prosseguimento do debate, isso seria uma gravíssima restrição a um poder que é das regiões autónomas. Os Srs. Deputados estarão ou não em acordo com esse poder - mas está constitucionalmente consagrado -, que consiste em requerer a urgência para processos legislativos que sejam oriundos das respectivas assembleias regionais. Nada na Constituição e nada na lei obriga às assembleias regionais a proporem uma tramitação para a urgência, como nada obriga o Governo da República a propor uma tramitação quando suscita processos de urgência. Não há memória de um governo da República, quando apresenta uma proposta de lei e requer processo de urgência, propor uma tramitação. Aquilo que a Assembleia hoje está aqui a deliberar, Sr. Presidente e Srs. Deputados, é apenas se se concede, ou não, a urgência que é solicitada. Pelas informações que foram trazidas a Plenário pela Sr.ª Deputada Cecília Catarino e por aquilo que todos nós devíamos saber, a matéria é pacífica, portanto não compreendemos o pânico, o pavor do PS que o leva a accionar uma guilhotina numa matéria destas, que é perfeitamente pacífica e que nos levaria escasso tempo de deliberação. A introdução deste requerimento não tem fundamento algum e, portanto, mandarmos isto para trás,
23	P00008	P00138	22	Muito bem!
24	P00144	P00002		..., que sejam um entrave ao exercício normal dos direitos das regiões autónomas. Apelamos aos Srs. Deputados do PS no sentido de reflectirem a iniciativa que tiveram, que é claramente impensada. E até estaríamos disponíveis a que se interrompesse a sessão por alguns minutos para os Srs. Deputados poderem trocar impressões, uma vez que bem parece que precisam delas face ao requerimento que apresentaram e que é inteiramente infundamentado...
25	P00030	P00001	21	Sr. Presidente, peço a palavra para fazer uma interpelação à Mesa.
26	P00001	P00030	25	Faça favor, Sr. Deputado.
27	P00030	P00001	26	Sr. Presidente, não tenho nada a obstar à sugestão feita pelo Sr. Deputado José Magalhães. Agradeço é que, antes da interrupção, se ela tiver lugar, a Mesa leia o requerimento para a Assembleia saber o que é que está em causa, concretamente.
28	P00001	P00002		Era já essa a nossa intenção, Sr. Deputado. Aliás, a Mesa só aceitou que lhe fossem sendo feitas sucessivas interpelações porque se trata de uma matéria delicada, pelo que gostaria de ouvir as opiniões das diversas bancadas. Srs. Deputados, vai ser lido o requerimento, apresentado pelo PS, que deu entrada na Mesa. Foi lido. É o seguinte: Considerando não virem definidos os condicionalismos do processo de urgência, não se sabendo claramente se a Assembleia Regional da Madeira opta que qualquer dos regimes previstos no artigo 245.º do Regimento ou pelo regime supletivo do artigo 246.º, propõe-se que o pedido do processo de urgência à proposta de lei n. º 92/III baixe à Comissão de Equipamento Social e Ambiente, para esclarecer o sentido de urgência e o regime solicitado pela Assembleia Regional da Madeira.
29	P00001	P00002		Srs. Deputados, penso que todas as bancadas já se pronunciaram, pelo que cabe à Mesa decidir se aceita ou rejeita o requerimento. Peço aos Srs. Deputados que aguardem um momento, porque a Mesa vai conferenciar. Pausa. Srs. Deputados, a Mesa entende, por unanimidade, que o requerimento não deve ser aceite uma vez que a faculdade de opção por um prazo determinado ou pela regra supletiva cabe a esta Assembleia, nos termos do artigo 245.º do Regimento.
30	P00008	P00001	29	Muito bem!
31	P00001	P00002		Parece-nos que seria um mau precedente, na falta de qualquer outro sistema já seguido por esta Assembleia, que viessem a ser as próprias assembleias regionais ou os próprios executivos a determinar qual o regime mais conveniente de discussão, relativamente a esta Assembleia. É esta, portanto, a deliberação da Mesa. Tem a palavra o Sr. Deputado José Luís Nunes.
32	P00123	P00001	31	Sr. Presidente, nós interpomos recurso da deliberação da Mesa, pelo que peço a palavra para o fundamentar.
33	P00001	P00123	32	Tem a palavra o Sr. Deputado.
34	P00123	P00002		Sr. Presidente, Srs. Deputados: O requerimento funda-se no facto de, como VV. Ex.as sabem, a Assembleia Regional da Madeira não ter optado por nenhum dos condicionalismos que dão conteúdo ao processo de urgência. É evidente que, neste caso, compete à Assembleia da República fazer essa opção, mas essa competência não é de forma alguma denegada ou afastada pelo facto de se pedir a baixa à Comissão deste diploma para que, em sede própria, se discuta qual o mecanismo de urgência mais adequado e, inclusive, se consulte a Assembleia Regional da Madeira sobre esta matéria. Não se trata, Sr. Presidente de uma denegação ou de uma não assunção de competência, mas apenas de estudar melhor o problema e de ver, em relação ao caso concreto, qual é o regime de processo de urgência mais adequado. Nesse sentido foi interposto o presente recurso e é neste sentido que, nos termos regimentais, interponho recurso da decisão de V. Ex.ª
35	P00001	P00030	27	Tem a palavra o Sr. Deputado Lopes Cardoso.
